s_city_id,s_city,s_lat,s_lon,e_city_id,e_City,e_lat,e_lon,Accepted,Count,TopFive
1,Saint Louis,38.648646,-90.241834,1,American University,38.939965,-77.088021,Yes,1,
1,Saint Louis,38.648646,-90.241834,2,Auburn University ,32.593357,-85.495166,Yes,1,
1,Saint Louis,38.648646,-90.241834,3,Benedictine College,39.574921,-95.113091,Yes,1,
1,Saint Louis,38.648646,-90.241834,4,Bradley University,40.697747,-89.615288,Yes,1,
1,Saint Louis,38.648646,-90.241834,5,Carthage College ,42.622697,-87.821127,Yes,1,
1,Saint Louis,38.648646,-90.241834,6,Cedarville University,39.746899,-83.809884,Yes,1,
1,Saint Louis,38.648646,-90.241834,7,Coe College,41.98859,-91.657398,No,1,
1,Saint Louis,38.648646,-90.241834,8,College of St. Benedict & St. John's University,45.579681,-94.393633,Yes,1,
1,Saint Louis,38.648646,-90.241834,9,Columbia College Chicago,41.874231,-87.624791,Was not reported,1,
1,Saint Louis,38.648646,-90.241834,10,Cornell College,41.924521,-91.423777,Yes,1,
1,Saint Louis,38.648646,-90.241834,11,Cornell University,42.443961,-76.501881,No,1,
1,Saint Louis,38.648646,-90.241834,12,Creighton University ,41.266747,-95.948691,Yes,4,
1,Saint Louis,38.648646,-90.241834,13,Culver-Stockton College,40.130333,-91.526922,Yes,1,
1,Saint Louis,38.648646,-90.241834,14,DePaul University,41.877512,-87.627227,Yes,3,
1,Saint Louis,38.648646,-90.241834,15,DigiPen Institute of Technology,47.688762,-122.150506,Was not reported,1,
1,Saint Louis,38.648646,-90.241834,16,Dominican University,41.902683,-87.82212,Yes,1,
1,Saint Louis,38.648646,-90.241834,17,Drake University,41.601417,-93.653096,Yes,2,
1,Saint Louis,38.648646,-90.241834,18,Drury University,37.219653,-93.286165,Yes,1,
1,Saint Louis,38.648646,-90.241834,19,Duquesne University,40.437382,-79.99366,Yes,1,
1,Saint Louis,38.648646,-90.241834,20,East Central College,38.431113,-90.977368,Yes,1,
1,Saint Louis,38.648646,-90.241834,21,Eastern Illinois University,38.431113,-90.977368,Yes,1,
1,Saint Louis,38.648646,-90.241834,22,Evangel University ,37.221182,-93.264338,Yes,1,
1,Saint Louis,38.648646,-90.241834,23,Florida Gulf Coast University,26.461518,-81.771653,Yes,1,
1,Saint Louis,38.648646,-90.241834,24,Florida Southern College ,28.029665,-81.944939,Yes,1,
1,Saint Louis,38.648646,-90.241834,25,Fontbonne University,38.641545,-90.315891,Yes,6,
1,Saint Louis,38.648646,-90.241834,26,Franciscan University,40.376288,-80.622494,Yes,1,
1,Saint Louis,38.648646,-90.241834,27,Goldfarb School of Nursing at Barnes Jewish College,38.637259,-90.258622,Yes,2,
1,Saint Louis,38.648646,-90.241834,28,Greenville University ,38.89413,-89.409127,Yes,2,
1,Saint Louis,38.648646,-90.241834,29,Hannibal-LaGrange University,39.727043,-91.391852,Yes,1,
1,Saint Louis,38.648646,-90.241834,30,Harris-Stowe State University,38.631924,-90.224919,Yes,1,
1,Saint Louis,38.648646,-90.241834,31,Henry Ford College,42.32458,-83.237978,Yes,1,
1,Saint Louis,38.648646,-90.241834,32,Hickey College,38.709529,-90.407687,Yes,1,
1,Saint Louis,38.648646,-90.241834,33,High Point University,35.972384,-79.995308,Yes,1,
1,Saint Louis,38.648646,-90.241834,34,Illinois College,39.731268,-90.246139,Yes,2,
1,Saint Louis,38.648646,-90.241834,35,Illinois State University,40.511654,-88.992391,Yes,5,
1,Saint Louis,38.648646,-90.241834,36,Illinois Wesleyan University,40.491828,-88.990777,Yes,2,
1,Saint Louis,38.648646,-90.241834,37,Indiana University,39.16609,-86.526548,Yes,1,
1,Saint Louis,38.648646,-90.241834,38,Indiana Wesleyan University ,40.520733,-85.666845,Yes,1,
1,Saint Louis,38.648646,-90.241834,39,Iowa State University ,42.028866,-93.648031,Yes,6,
1,Saint Louis,38.648646,-90.241834,40,Jackson State University,32.297777,-90.210289,Yes,1,
1,Saint Louis,38.648646,-90.241834,41,Jefferson College ,38.259309,-90.559987,Yes,2,
